
#GROUP    ARG     (Arginine +1)
0  D0     -1.1380    -1.7510     0.0000 Dummy
1  C1     -2.0246    -1.6049     1.2321 C
2  H2     -2.7689    -2.4012     1.2414 H
3  H3     -1.4119    -1.6705     2.1312 H
4  C4     -2.7282    -0.2524     1.1946 C
5  H5     -1.9846     0.5445     1.1858 H
6  H6     -3.3416    -0.1862     0.2960 H
7  C7     -3.6148    -0.1063     2.4267 C
8  H8     -4.3591    -0.9026     2.4359 H
9  H9     -3.0021    -0.1719     3.3258 H
10 N10    -4.3154     1.1975     2.4245 N
11 H11    -4.1520     1.8310     1.6551 H
12 C12    -5.1502     1.5729     3.3894 C
13 N13    -5.4158     0.7938     4.4341 N
14 N14    -5.7262     2.7673     3.2870 N
15 H15    -4.9767    -0.1126     4.5088 H
16 H16    -6.0554     1.1123     5.1480 H
17 H17    -5.5223     3.3564     2.4923 H
18 H18    -6.3648     3.0797     4.0044 H
END

#GROUP  MTL     (Methyl group -CH3)
0 D0    -1.7022     0.2055     0.0000 Dummy
1 C1    -0.6322     0.2055     0.0000 C
2 H2    -0.2756    -0.8033     0.0000 H
3 H3    -0.2756     0.7099     0.8737 H
4 H4    -0.2756     0.7099    -0.8737 H
END

#MOLECULE   HOH     (Water H2O)
0  D0   30.453     38.925    54.353 Dummy
1  O    30.453     38.925    54.353 O
2  H1   30.858     39.714    53.886 H
3  H2   30.799     38.880    55.290 H
END
